Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,13.0,BIC,1059603.8041320876,13
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,14.0,VRC,10797.77161577372,14
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,14.0,Silhouette,0.1861160538840024,14
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,14.0,SSE-Elbow,1024897.2935692626,14
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,14.0,DB,1.3855919530693974,14
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,14.0,BIC,1026589.9698860988,14
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,15.0,VRC,10509.780867293695,15
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,15.0,Silhouette,0.18360164049078345,15
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,15.0,SSE-Elbow,992171.1187671165,15
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,15.0,DB,1.3995068599941738,15
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,15.0,BIC,993986.6757643094,15
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,16.0,VRC,10141.261333616098,16
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,16.0,Silhouette,0.1745698257768587,16
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,16.0,SSE-Elbow,969375.9774182796,16
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,16.0,DB,1.452491731754135,16
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,16.0,BIC,971313.693685506,16
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,17.0,VRC,9879.242823735703,17
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,17.0,Silhouette,0.16283840899756552,17
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,17.0,SSE-Elbow,943494.5062569844,17
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,17.0,DB,1.463839017522958,17
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,17.0,BIC,945552.9529124642,17
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,18.0,VRC,9663.810317185123,18
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,18.0,Silhouette,0.16082964260390284,18
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,18.0,SSE-Elbow,917881.3830144204,18
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,18.0,DB,1.4634167502332585,18
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,18.0,BIC,920063.0322080412,18
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,19.0,VRC,9390.564281035127,19
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,19.0,Silhouette,0.15603550031275554,19
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,19.0,SSE-Elbow,899245.8517108134,19
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,19.0,DB,1.5011296233604456,19
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,19.0,BIC,901549.2029684904,19
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,20.0,VRC,9159.610219331213,20
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,20.0,Silhouette,0.1600102155267427,20
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,20.0,SSE-Elbow,880402.6029731977,20
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,20.0,DB,1.4901953231766254,20
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,20.0,BIC,882827.9860053756,20
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,21.0,VRC,8848.524734068269,21
TV News Channel Commercial Detection Dataset,K-Means,n_clusters,21.0,Silhouette,0.15637281650958323,21
